DATE,ability,absacc,acc,accq,adm,ami,assgrw,ba,backlog,bcir,bet,betasq,bliq,bm,capexgrw,cashdebt,cdi,cep,cfmkt,chcurrat,chg_debt,chg_fin,chgat,chgcoa,chgcol,chgnoa,chgnwc,chgoa,chgol,chgpm,chgppe,chinv,chmom,chtx,ci,coskew,cp,crev,csaleinv,cto,currat,dctaq,ddemp,depr,dfina,dimson,dior,disacc,divy,dlno,dnco,dnwc,down,dp,droa,droe,dsti,earet,earnsm,ebg,ebm,em,ep,eqd,etax,fhigh,firmage,frm,fscore,gad,gltdebt,gmsale,gprof,gscore,hire,idio,ind,indcapex,indcf,indebit,indsale,intanret,invgrw,ior,kzindex,laboreff,lev,levbm,lmom,ltbeta,ltrev,max,mliq,mom,mv,nef,noa,npyield,nxf,ocp,operprof,orgcap,oscore,pchdepr,pchquick,pctacc,peroa,pin,price,prof,profm,pyield,quick,rdmkt,rdmve,rds,rdsale,real,roa,roavol,roe,roic,rom,rsup,salecash,saleinv,saleinvt,salerec,salerect,salexsga,sdebt,sgr,shriss1,shriss5,size,sp,spitem,sprdvol,stbeta,stdacc,stdcf,stdroa,strev,sue,susg,ta,tang,tbi,td,turn,varcf,vdvol,voltrend,vturn,wwindex,xfin,zero,zscore
20111026,0.5%,-0.1%,0.2%,-0.3%,-0.7%,-0.4%,-0.2%,0.6%,,-0.3%,2.6%,1.2%,0.1%,-0.8%,-0.3%,0.4%,0.6%,0.1%,0.4%,-0.0%,0.0%,0.2%,-0.0%,0.2%,0.4%,-0.2%,0.0%,0.1%,0.4%,0.3%,0.4%,-0.5%,-1.3%,0.6%,0.8%,0.9%,-0.0%,-0.9%,0.7%,-0.0%,0.3%,0.1%,0.6%,0.0%,0.1%,2.2%,0.2%,-0.8%,1.4%,0.0%,-0.5%,-0.6%,2.7%,0.2%,0.5%,0.4%,0.0%,0.1%,0.3%,-0.2%,-0.8%,0.5%,0.3%,-0.2%,0.1%,-1.1%,-0.2%,-0.0%,0.3%,1.1%,0.4%,0.4%,-0.5%,0.1%,0.6%,-0.7%,-1.5%,-0.8%,0.8%,0.3%,0.3%,-0.0%,0.2%,0.1%,-0.0%,0.2%,-0.3%,1.0%,1.5%,,-1.6%,1.1%,0.4%,0.6%,1.3%,0.5%,0.6%,-0.2%,-0.0%,0.5%,-0.1%,-0.3%,0.4%,-0.1%,0.2%,-0.5%,-0.6%,,0.5%,-0.3%,1.0%,-0.6%,0.5%,0.2%,-0.2%,-1.2%,-0.5%,-0.5%,0.2%,-0.2%,0.5%,-0.1%,0.3%,1.0%,0.1%,1.0%,1.0%,-0.1%,0.6%,0.6%,,0.1%,0.4%,0.6%,0.7%,-0.2%,0.2%,-1.3%,1.6%,-0.1%,-0.0%,0.0%,-1.5%,0.5%,0.2%,0.5%,-0.2%,0.1%,-0.5%,1.6%,0.7%,0.8%,-0.2%,0.7%,-0.9%,1.2%,-1.6%,0.6%
20111027,-0.1%,-0.3%,0.2%,-1.2%,-0.6%,-1.5%,1.3%,0.1%,,1.0%,6.0%,2.6%,-0.4%,-1.7%,-0.0%,1.1%,1.2%,1.0%,0.9%,-0.2%,-0.1%,0.1%,0.8%,0.4%,0.8%,1.2%,-0.1%,1.2%,0.2%,-0.2%,1.2%,0.0%,-1.8%,0.4%,0.2%,2.5%,-0.9%,-2.3%,0.8%,0.6%,-0.1%,-0.1%,0.2%,-0.1%,-0.1%,4.1%,0.2%,0.3%,-0.7%,0.9%,1.1%,-0.4%,5.7%,-1.0%,0.3%,0.8%,0.5%,-0.0%,0.6%,0.1%,-0.6%,1.1%,1.3%,-1.3%,-0.4%,-3.0%,-0.2%,-0.4%,1.0%,1.4%,-0.3%,0.5%,-0.5%,-1.6%,1.0%,-1.1%,-5.5%,-0.0%,1.0%,1.1%,-0.0%,-0.1%,-0.3%,2.6%,1.1%,0.7%,-0.6%,1.9%,1.7%,,-0.7%,2.5%,-0.2%,-0.7%,3.6%,0.2%,1.0%,-0.5%,-0.1%,1.3%,-0.3%,-0.5%,-0.7%,0.4%,-0.3%,-0.9%,-0.6%,,1.6%,-0.7%,0.6%,-0.8%,0.2%,-1.1%,-0.3%,-0.5%,-1.0%,0.7%,1.3%,-0.5%,0.8%,0.9%,0.6%,2.1%,0.1%,0.5%,1.3%,0.8%,0.3%,0.3%,,0.7%,0.6%,0.2%,2.6%,-1.4%,0.6%,-2.5%,3.1%,-0.3%,-0.6%,-1.3%,-3.3%,0.2%,0.9%,1.0%,-0.6%,0.4%,-0.1%,3.7%,0.1%,2.6%,-1.2%,2.6%,-1.9%,1.7%,-3.9%,1.3%
20111028,0.3%,0.6%,0.3%,0.9%,0.5%,0.0%,0.2%,-0.5%,,0.7%,0.2%,0.3%,0.4%,-0.1%,-0.2%,0.1%,0.2%,0.1%,0.1%,-0.5%,0.5%,0.2%,0.5%,0.4%,0.2%,-0.0%,0.4%,-0.0%,0.0%,0.5%,0.6%,-0.1%,-0.5%,0.1%,-0.3%,0.6%,-0.1%,-0.2%,0.4%,-0.5%,-0.0%,0.2%,0.2%,0.2%,0.3%,0.2%,-0.2%,0.2%,0.0%,-0.4%,-0.3%,-0.2%,0.2%,0.1%,-0.5%,0.2%,0.2%,0.0%,1.0%,0.5%,0.6%,-0.1%,-0.1%,-3.5%,0.0%,-0.5%,-0.2%,-0.1%,-0.5%,0.4%,-0.2%,-0.3%,-0.1%,0.2%,0.2%,1.5%,-1.7%,0.0%,-0.4%,0.1%,-0.2%,0.0%,0.4%,-1.1%,0.4%,0.6%,-0.5%,0.2%,0.2%,,0.1%,0.3%,-0.2%,0.4%,0.8%,0.4%,0.3%,-0.4%,0.6%,-0.0%,-0.1%,-0.0%,-0.3%,0.1%,-0.4%,0.0%,-0.0%,,-1.1%,-0.1%,-0.1%,-0.3%,0.1%,-0.0%,0.6%,0.4%,-0.1%,-0.6%,-0.3%,1.1%,0.0%,0.1%,-0.2%,-0.4%,-0.3%,-0.4%,0.3%,0.1%,0.2%,0.6%,,1.3%,1.1%,1.0%,-0.6%,-0.2%,-0.0%,0.5%,0.8%,1.3%,1.3%,1.2%,-0.1%,-0.5%,0.2%,0.3%,-0.6%,-0.2%,-0.6%,0.4%,0.1%,-0.1%,-0.3%,0.8%,0.5%,0.2%,-0.6%,-0.1%
20111031,-0.4%,0.5%,-0.4%,-0.4%,1.0%,2.1%,0.5%,-0.3%,,-0.5%,-4.1%,-1.8%,0.2%,1.3%,0.2%,-0.2%,-0.4%,-0.9%,-0.3%,0.6%,-0.4%,-0.7%,0.2%,-0.6%,-1.0%,-1.6%,0.1%,-1.7%,-0.5%,0.0%,-1.8%,-0.6%,2.0%,0.0%,-0.0%,-1.6%,0.4%,1.8%,0.3%,0.3%,0.6%,0.6%,0.2%,0.7%,0.5%,-3.4%,0.2%,0.4%,0.5%,-1.7%,-1.5%,0.1%,-4.0%,0.9%,-1.4%,-0.4%,-0.6%,-0.2%,-0.0%,-0.5%,0.9%,-0.8%,-1.2%,-0.8%,-0.1%,2.3%,0.0%,0.5%,-0.6%,-0.8%,-0.4%,-0.7%,0.6%,0.1%,-1.0%,0.7%,3.5%,0.2%,-1.0%,-0.2%,0.2%,-0.2%,0.2%,-2.0%,-1.1%,-0.2%,0.2%,-1.4%,-1.3%,,0.2%,-1.7%,1.0%,1.0%,-3.0%,-1.0%,-0.1%,0.2%,-1.2%,0.6%,0.5%,0.8%,1.0%,1.0%,0.8%,1.0%,0.8%,,-1.1%,0.1%,0.1%,0.7%,0.3%,0.4%,0.1%,-1.1%,-0.2%,0.2%,-0.6%,-0.4%,-0.4%,-0.5%,0.3%,-0.7%,0.4%,-0.5%,0.1%,-0.2%,0.3%,-0.2%,,-0.3%,-1.1%,-1.1%,-2.1%,1.4%,-0.0%,2.3%,-1.7%,0.0%,-0.3%,0.2%,2.6%,-0.4%,-0.4%,-0.7%,0.3%,-0.2%,0.3%,-3.1%,0.4%,-2.5%,0.6%,-2.2%,1.7%,-1.1%,3.2%,-0.3%
20111101,0.3%,0.3%,0.3%,0.6%,1.3%,1.2%,-0.2%,-0.4%,,-0.7%,-4.0%,-1.5%,-0.6%,1.1%,0.5%,-0.2%,-0.8%,-0.0%,-0.8%,0.3%,-0.3%,-0.4%,-1.0%,-0.2%,0.2%,-1.4%,-0.2%,-1.8%,-0.7%,-0.6%,-0.5%,0.0%,1.8%,-0.4%,-0.9%,2.8%,0.2%,1.8%,-0.9%,0.0%,-0.0%,0.1%,-0.3%,0.0%,0.3%,-2.8%,,-0.3%,-0.3%,-1.5%,-1.6%,0.1%,-4.0%,0.5%,-0.4%,0.4%,0.1%,0.2%,-0.3%,-0.1%,0.9%,0.2%,-0.1%,0.6%,0.0%,2.7%,0.1%,0.1%,-0.6%,-0.6%,-0.7%,0.0%,0.9%,0.7%,-0.7%,1.3%,0.9%,0.2%,-0.7%,-0.8%,-0.1%,-0.3%,0.2%,,-0.5%,0.1%,0.9%,-1.1%,-0.9%,,0.5%,-3.0%,-0.2%,1.9%,-2.1%,-0.3%,-1.0%,0.2%,-0.6%,-0.2%,0.6%,0.1%,0.7%,-0.4%,0.2%,0.7%,0.7%,,-1.7%,-0.1%,-1.1%,0.3%,-0.5%,0.1%,-0.4%,0.2%,0.2%,-0.4%,-0.8%,0.1%,0.1%,-0.4%,-1.2%,-1.2%,-0.5%,-0.8%,-0.9%,-0.5%,-0.2%,-0.7%,,-0.4%,-0.6%,0.2%,-2.4%,0.6%,0.0%,2.5%,-0.6%,0.0%,0.3%,-0.3%,1.9%,-0.7%,-1.0%,-1.6%,1.1%,0.3%,0.4%,-2.7%,0.5%,-2.5%,-0.8%,-1.9%,1.8%,-0.8%,2.7%,-0.6%
20111102,0.5%,-0.3%,0.3%,0.1%,-0.1%,-0.7%,0.7%,0.1%,,-0.1%,3.3%,2.0%,0.8%,-1.0%,-0.0%,0.6%,0.9%,0.2%,0.8%,0.2%,0.1%,0.2%,-0.1%,-0.0%,-0.8%,0.4%,0.1%,0.6%,0.7%,0.8%,0.6%,0.1%,-1.6%,-0.0%,-0.2%,-1.5%,-0.7%,-1.0%,-0.0%,0.2%,-0.9%,0.1%,0.2%,-0.3%,0.0%,2.2%,,-0.2%,0.7%,0.7%,0.6%,0.1%,3.3%,-0.5%,0.5%,0.6%,-0.1%,0.4%,-0.0%,-0.3%,0.0%,0.5%,0.7%,-1.1%,-0.3%,-1.9%,0.0%,-0.7%,0.1%,-0.5%,0.3%,0.3%,-0.3%,-1.0%,0.0%,0.6%,-2.2%,-0.5%,1.1%,0.5%,0.4%,0.0%,-0.5%,,0.1%,-0.1%,-0.1%,0.6%,1.0%,,-1.0%,2.3%,0.8%,-0.8%,1.5%,1.4%,1.3%,-0.5%,1.3%,-0.1%,0.1%,-0.3%,0.3%,0.1%,0.2%,-0.3%,-0.2%,,0.0%,-0.4%,1.2%,-0.4%,-0.7%,-0.4%,-1.2%,-1.4%,-1.1%,0.1%,0.4%,-0.5%,0.5%,0.0%,0.4%,0.7%,0.6%,0.2%,0.4%,0.1%,0.1%,0.4%,,0.0%,0.8%,0.7%,0.7%,0.6%,0.4%,-1.0%,1.7%,-0.3%,-0.0%,-0.0%,-1.5%,-0.4%,0.2%,1.1%,-0.1%,0.4%,-0.7%,2.3%,0.5%,1.4%,0.5%,1.3%,-0.9%,0.4%,-1.9%,0.4%
20111103,-0.3%,-0.2%,0.7%,-1.3%,-0.8%,-0.9%,-0.1%,0.3%,,-1.9%,2.2%,0.6%,0.1%,-1.5%,-0.4%,1.6%,0.3%,-1.0%,1.6%,-0.4%,-0.3%,0.1%,0.1%,0.9%,0.2%,0.4%,0.7%,0.3%,-0.3%,-0.8%,-0.2%,0.1%,-1.3%,0.2%,-0.4%,-1.7%,0.2%,-0.9%,-0.6%,-0.0%,-0.5%,0.0%,-0.9%,0.1%,-0.8%,2.3%,,0.8%,-0.7%,0.9%,0.8%,0.1%,1.9%,-0.6%,0.6%,-0.5%,-0.5%,0.6%,-0.2%,0.3%,-1.1%,0.4%,2.0%,-0.1%,-0.0%,-1.2%,0.7%,0.8%,0.3%,0.1%,-0.1%,-0.3%,-0.9%,-0.1%,0.1%,-0.3%,-1.6%,-0.3%,1.0%,1.9%,-0.8%,-0.6%,-0.2%,,0.6%,0.1%,-0.1%,1.6%,1.0%,,0.1%,1.7%,-0.7%,-0.2%,1.3%,-0.9%,0.1%,-0.6%,-0.7%,2.6%,-0.2%,-0.9%,-0.9%,-0.7%,-0.3%,0.1%,0.2%,,1.2%,0.4%,0.6%,-0.4%,0.1%,-0.2%,0.6%,-0.4%,-0.6%,-0.5%,0.9%,0.3%,0.9%,1.0%,1.4%,1.4%,0.3%,1.2%,-0.8%,-0.3%,-0.4%,-0.8%,,-0.7%,0.6%,-0.4%,1.0%,-0.7%,0.5%,-1.4%,0.7%,-0.1%,0.0%,0.3%,-0.4%,0.7%,-0.2%,0.7%,-1.1%,-0.2%,-0.5%,1.3%,-1.5%,1.3%,0.3%,1.1%,-1.0%,-0.1%,-1.0%,1.5%
20111104,0.6%,0.2%,0.5%,0.7%,0.1%,-0.1%,0.7%,-0.5%,,0.2%,0.0%,0.1%,-0.3%,0.3%,0.6%,0.3%,-0.7%,-0.4%,0.2%,-0.3%,0.0%,-0.3%,0.2%,0.2%,-0.1%,-0.0%,-0.5%,-0.2%,-0.3%,0.6%,-0.1%,-0.0%,-0.5%,0.5%,0.1%,-0.0%,0.4%,0.1%,0.9%,0.0%,-0.0%,0.3%,-0.6%,-0.3%,-0.8%,0.6%,,-0.4%,0.0%,-0.0%,0.4%,-0.4%,0.2%,-0.6%,-0.2%,0.7%,-1.4%,-0.2%,-0.2%,0.1%,0.6%,0.6%,1.1%,-2.5%,-0.3%,-0.5%,0.1%,0.1%,0.4%,-0.0%,-0.4%,-0.5%,0.4%,0.0%,-0.1%,0.2%,-1.6%,-0.2%,-0.2%,0.2%,0.1%,0.1%,-0.0%,,0.2%,0.4%,-0.7%,-0.5%,0.6%,,0.6%,-0.4%,-0.4%,-0.0%,1.1%,-0.8%,-0.2%,0.1%,-1.1%,-0.5%,-0.2%,0.3%,0.3%,-0.4%,-0.0%,0.1%,0.2%,,0.2%,1.1%,0.1%,-0.3%,-0.5%,-1.2%,0.0%,-1.2%,-0.6%,-0.7%,0.7%,0.6%,0.4%,0.4%,0.8%,0.0%,0.2%,-0.1%,0.6%,0.7%,0.7%,0.3%,,0.9%,-0.8%,-0.7%,0.1%,0.0%,-0.1%,-0.4%,-0.0%,0.6%,0.6%,0.2%,-0.8%,-0.7%,-0.5%,0.0%,0.6%,-0.1%,-0.8%,0.4%,0.1%,-0.2%,0.7%,0.4%,0.1%,-0.2%,-0.7%,0.2%
20111107,-0.2%,-1.0%,0.7%,-0.8%,-0.8%,-0.8%,1.0%,0.6%,,0.3%,-0.5%,-0.6%,-0.8%,0.3%,-0.1%,0.2%,0.3%,0.1%,0.8%,-0.1%,-0.1%,-0.2%,-0.4%,0.4%,-0.2%,0.0%,0.5%,0.3%,-0.1%,0.1%,0.3%,-0.0%,0.4%,0.2%,-0.2%,0.1%,0.3%,-0.2%,0.2%,0.5%,-0.1%,0.4%,-0.3%,-0.1%,-0.2%,-0.1%,,-0.0%,-0.4%,0.5%,0.5%,0.1%,-0.6%,0.1%,0.2%,-0.0%,-0.4%,-0.9%,-0.2%,-0.1%,0.5%,-0.7%,0.9%,-0.7%,-0.0%,0.4%,0.2%,0.4%,-0.2%,0.3%,-0.4%,0.1%,1.0%,0.2%,0.0%,-0.7%,-0.0%,-0.7%,1.2%,1.0%,0.8%,0.2%,-0.2%,,-1.0%,0.6%,0.2%,0.1%,-0.5%,,-0.6%,-0.5%,0.2%,-0.6%,-0.3%,-0.3%,0.5%,0.1%,-0.2%,0.5%,0.7%,-0.4%,-1.1%,-0.5%,-0.4%,0.6%,0.6%,,0.6%,0.7%,0.6%,-0.0%,-0.0%,-1.1%,-1.5%,-1.4%,-1.4%,0.1%,1.0%,-0.4%,0.5%,0.6%,1.5%,0.0%,0.9%,0.4%,0.4%,-0.0%,0.3%,-0.2%,,0.2%,-1.3%,-1.1%,1.1%,0.0%,0.1%,-0.4%,0.4%,-0.7%,-1.0%,-1.6%,0.1%,-0.2%,0.3%,-0.6%,-1.2%,0.7%,0.4%,-0.1%,-0.2%,0.7%,0.4%,-0.2%,-1.0%,-0.5%,0.1%,0.4%
20111108,-1.0%,-0.0%,-0.6%,-0.4%,-0.0%,0.0%,0.3%,-1.3%,,-1.3%,1.0%,0.7%,0.9%,-1.4%,-0.3%,-0.0%,0.1%,0.4%,1.7%,-0.2%,0.1%,0.2%,-0.1%,0.5%,0.6%,-0.1%,0.1%,0.5%,0.4%,0.2%,-0.3%,-0.1%,-1.3%,-0.3%,-0.9%,0.3%,0.9%,-0.5%,-0.3%,0.2%,0.1%,0.3%,0.4%,-0.4%,-0.1%,0.6%,,-0.4%,-0.8%,-0.4%,-0.4%,0.1%,1.0%,1.6%,0.4%,-0.2%,1.0%,-0.3%,-0.5%,0.3%,-1.2%,0.4%,0.4%,-0.0%,0.1%,-0.7%,-0.1%,0.6%,0.2%,-0.3%,0.0%,0.3%,0.3%,-1.1%,0.4%,0.6%,0.1%,-0.4%,1.0%,0.1%,0.3%,-0.0%,0.3%,,-0.5%,-0.2%,0.2%,1.7%,0.3%,,-0.9%,1.0%,0.3%,-1.2%,0.2%,1.2%,-0.2%,0.4%,0.5%,0.7%,-0.4%,0.2%,1.3%,-0.4%,-0.2%,-0.6%,-0.7%,,-0.3%,0.1%,0.2%,-0.6%,0.0%,-1.1%,-0.7%,-0.4%,-1.7%,0.5%,0.7%,-0.3%,-0.1%,0.3%,0.9%,0.1%,0.5%,0.0%,0.0%,-0.1%,0.1%,0.3%,,0.3%,1.0%,-0.3%,0.0%,0.6%,0.1%,-0.1%,0.1%,-0.3%,-0.3%,0.5%,-0.2%,-0.7%,1.7%,0.3%,-0.2%,0.4%,0.1%,0.4%,0.6%,0.6%,-1.1%,0.5%,-0.5%,-0.1%,-0.6%,-0.3%
20111109,-0.2%,-0.1%,-0.2%,1.1%,0.5%,2.0%,-0.8%,-1.1%,,-0.0%,-5.0%,-2.7%,0.0%,2.1%,-0.3%,-0.6%,-0.9%,1.0%,-1.3%,0.1%,-0.4%,-0.5%,-0.0%,-0.8%,-0.9%,-0.8%,-0.2%,-0.8%,-0.4%,-0.7%,-1.2%,-0.6%,2.8%,-0.6%,-0.4%,1.6%,0.3%,2.0%,0.4%,-0.3%,0.3%,0.1%,0.1%,0.1%,0.4%,-4.2%,,0.2%,-0.7%,-1.3%,-0.8%,-0.1%,-5.6%,1.3%,-1.1%,-0.3%,-0.5%,0.5%,-0.7%,-0.5%,1.3%,-1.1%,-0.1%,1.3%,0.0%,3.4%,0.1%,-0.0%,-0.5%,0.7%,-0.3%,-0.9%,0.0%,0.9%,-0.5%,-0.1%,2.8%,0.5%,-1.2%,-0.6%,0.1%,0.0%,0.3%,,-1.1%,-0.8%,0.8%,-1.6%,-1.5%,,0.6%,-3.6%,1.4%,1.7%,-3.5%,-0.7%,-0.7%,0.2%,-0.5%,-0.4%,0.2%,0.6%,0.2%,0.1%,0.1%,0.6%,0.6%,,-1.3%,0.4%,-0.7%,0.5%,0.1%,1.2%,0.7%,1.2%,1.0%,-0.8%,-1.0%,-0.6%,-1.1%,-0.5%,-0.6%,-0.5%,0.1%,-0.1%,-0.0%,-0.4%,0.4%,-0.2%,,-0.2%,-0.6%,-0.6%,-2.4%,0.8%,0.1%,2.4%,-2.0%,0.1%,0.3%,0.3%,2.5%,-0.3%,-0.9%,-1.4%,1.0%,-0.2%,0.4%,-3.7%,-0.3%,-2.8%,-0.3%,-2.7%,2.2%,-1.0%,3.9%,-0.9%
20111110,0.5%,-1.0%,-0.1%,-1.5%,-0.1%,-0.3%,0.8%,0.4%,,0.4%,0.9%,-0.2%,-0.7%,-0.2%,0.2%,0.8%,0.0%,-0.4%,0.4%,0.2%,-0.1%,-0.2%,0.1%,0.0%,0.0%,0.2%,0.2%,0.3%,-0.2%,-0.4%,0.5%,0.1%,-0.6%,-0.4%,0.6%,-0.4%,-0.3%,-0.7%,-0.5%,0.1%,-0.4%,0.3%,-0.0%,-0.3%,0.1%,0.5%,,-0.3%,0.1%,0.2%,-0.2%,-0.0%,0.6%,0.1%,0.2%,0.1%,-0.4%,0.5%,-0.4%,-0.4%,-0.4%,-0.3%,0.6%,0.3%,-0.1%,0.1%,0.7%,0.4%,1.1%,0.1%,0.4%,0.6%,0.4%,-0.5%,0.1%,-1.5%,-0.6%,-0.1%,1.1%,1.3%,0.6%,-0.2%,-0.3%,,-0.6%,-0.8%,0.5%,-0.1%,0.2%,,-0.6%,0.1%,-0.9%,-0.4%,0.2%,-1.0%,0.8%,-0.1%,-1.0%,0.7%,0.4%,-0.4%,-0.8%,0.1%,0.1%,-0.2%,-0.2%,,1.4%,0.5%,1.7%,0.0%,-0.5%,-0.9%,-0.4%,-0.9%,-0.7%,0.3%,0.8%,-1.4%,0.7%,0.4%,0.7%,-0.3%,0.8%,0.2%,-0.6%,-0.3%,-0.2%,-0.3%,,-0.9%,0.2%,-1.0%,1.2%,0.7%,0.4%,-0.6%,-0.9%,-1.2%,-1.5%,-1.2%,-0.2%,0.5%,1.1%,-0.2%,-0.5%,0.2%,-0.5%,0.4%,-0.1%,0.6%,-0.1%,-0.1%,-1.2%,-0.2%,0.0%,0.4%
20111111,-0.1%,-0.1%,-0.2%,-1.0%,-0.0%,-1.3%,0.5%,1.0%,,-0.3%,2.7%,0.8%,-0.3%,-1.2%,0.2%,1.7%,-0.4%,-0.5%,1.5%,0.7%,-0.1%,-0.1%,0.4%,-0.3%,0.2%,1.1%,0.1%,1.0%,0.1%,0.1%,0.3%,0.2%,-1.3%,0.0%,-0.4%,-1.0%,-0.3%,-0.8%,0.2%,1.6%,-0.1%,0.2%,-0.2%,-0.3%,0.1%,1.8%,,1.1%,-0.4%,0.8%,0.7%,0.4%,3.2%,0.1%,0.8%,0.6%,0.4%,0.5%,-0.3%,0.2%,-0.8%,0.2%,1.0%,0.7%,-0.3%,-1.5%,0.2%,-0.1%,1.4%,0.1%,0.3%,0.7%,1.9%,-0.5%,0.8%,-1.0%,-0.9%,0.1%,2.3%,1.6%,0.7%,0.3%,-0.4%,,1.0%,0.5%,-0.7%,0.9%,0.8%,,0.6%,1.6%,-0.5%,-0.8%,2.0%,-0.4%,0.5%,0.1%,0.1%,1.0%,1.0%,0.4%,-0.8%,-0.4%,0.7%,-0.4%,-0.7%,,1.6%,0.0%,0.8%,-0.0%,-0.3%,0.0%,-0.8%,-0.7%,-0.3%,0.4%,1.0%,0.1%,0.5%,1.2%,0.9%,0.8%,0.9%,1.0%,0.3%,1.0%,0.4%,0.2%,,-0.1%,-0.8%,-1.0%,1.6%,0.4%,0.3%,-1.7%,0.8%,-0.9%,-1.2%,-0.8%,-1.6%,0.3%,1.4%,0.3%,-0.9%,-0.6%,0.1%,2.2%,-0.3%,1.7%,-0.4%,1.5%,-1.4%,0.5%,-1.9%,2.0%
20111114,-0.2%,-0.1%,0.6%,-0.5%,0.9%,0.5%,0.4%,-0.0%,,0.2%,-1.3%,-0.0%,-0.5%,1.0%,-0.2%,0.2%,0.1%,-0.1%,0.5%,0.4%,0.1%,0.0%,0.2%,0.2%,-0.1%,0.3%,0.3%,0.1%,-0.0%,-0.0%,0.1%,0.4%,-0.1%,0.3%,-0.6%,-0.1%,0.0%,0.9%,-0.8%,0.7%,0.5%,-0.2%,0.3%,0.3%,-1.1%,-0.8%,,0.0%,-0.5%,-0.1%,-0.0%,0.2%,-1.6%,-0.5%,0.5%,0.3%,-0.5%,-0.3%,-0.1%,-0.9%,-0.4%,0.1%,1.1%,0.2%,-0.3%,1.1%,0.1%,0.2%,-0.2%,0.2%,-0.1%,-0.3%,1.8%,0.5%,0.5%,-0.9%,0.4%,0.6%,-0.4%,1.2%,1.1%,-0.1%,0.0%,,-0.3%,-0.5%,0.3%,-0.0%,0.6%,,0.7%,-1.2%,0.1%,1.5%,-0.6%,-1.1%,-0.5%,0.0%,-0.4%,0.3%,1.2%,0.6%,0.1%,0.1%,0.3%,0.5%,0.5%,,0.3%,0.7%,0.4%,-0.1%,0.5%,-0.5%,-0.3%,-0.9%,-1.0%,0.3%,0.7%,0.3%,0.5%,0.4%,1.1%,0.7%,0.3%,0.3%,-0.9%,0.1%,-0.3%,0.5%,,-0.2%,-0.7%,-1.1%,-0.2%,0.9%,0.0%,0.1%,0.0%,-0.9%,-1.3%,-0.6%,0.7%,-0.2%,-0.8%,-0.7%,-0.3%,-0.1%,-0.2%,-0.3%,-0.5%,-0.3%,0.2%,-0.3%,0.4%,-0.7%,0.5%,0.4%
20111115,0.4%,-0.6%,0.4%,-1.1%,-0.5%,-0.1%,1.1%,0.9%,,-0.9%,1.3%,-0.0%,0.2%,-0.0%,0.1%,0.4%,0.5%,-0.2%,1.2%,0.0%,-0.2%,0.3%,0.3%,0.2%,-0.1%,0.1%,-0.2%,0.4%,0.2%,0.5%,-0.8%,-0.6%,-0.5%,0.2%,0.7%,-0.8%,-0.6%,-0.4%,0.3%,0.3%,-0.4%,0.4%,-0.1%,-0.1%,-0.2%,1.1%,,-0.1%,0.1%,0.8%,0.4%,-0.0%,1.2%,0.5%,0.4%,-0.1%,-0.2%,0.2%,-0.2%,0.5%,-0.6%,0.2%,0.7%,-0.2%,-0.0%,-0.7%,0.1%,0.3%,1.0%,-0.5%,-0.2%,0.3%,0.0%,-0.1%,0.4%,-1.3%,-0.5%,0.2%,1.7%,0.9%,0.8%,-0.2%,-0.3%,,0.3%,-0.3%,-0.3%,-0.0%,0.3%,,-0.0%,1.4%,-0.4%,-0.1%,0.6%,-0.8%,0.5%,-0.0%,-0.2%,1.0%,0.2%,-0.4%,0.1%,-1.1%,0.2%,-0.7%,-0.8%,,1.3%,0.2%,0.8%,0.3%,-0.3%,-1.4%,-0.8%,-1.3%,-0.8%,0.5%,0.8%,-0.8%,0.8%,0.5%,0.6%,0.2%,0.7%,1.0%,0.6%,0.1%,-0.4%,0.9%,,-0.3%,-0.2%,-0.1%,1.0%,0.2%,-0.2%,-1.2%,-0.1%,-0.4%,-0.3%,-0.4%,-0.2%,-0.0%,1.4%,0.2%,-0.1%,-0.2%,-0.2%,0.7%,-0.5%,1.1%,-0.1%,0.4%,-0.1%,0.5%,-1.0%,1.4%
